,beds,baths,size,zip_code,price
73,3,1.5,1340.0,98106,615000.0
74,6,3.5,8660.0,98102,4100000.0
75,2,2.5,1365.0,98118,525000.0
76,1,1.0,635.0,98104,509950.0
77,3,1.0,1800.0,98168,549000.0
78,2,1.0,870.0,98118,555000.0
79,3,3.5,1510.0,98103,660000.0
80,3,1.0,1120.0,98106,615000.0
81,4,2.5,2580.0,98146,1635000.0
82,2,2.0,875.0,98115,420000.0
83,3,4.0,2220.0,98109,1650000.0
84,1,1.0,607.0,98119,427000.0
85,3,2.0,1496.0,98144,910000.0
86,4,3.5,2670.0,98118,1022700.0
87,2,1.5,1810.0,98115,925000.0
88,1,1.0,582.0,98109,360000.0
89,2,2.0,1006.0,98121,928000.0
90,3,5.5,1530.0,98103,635000.0
91,2,1.0,820.0,98118,490000.0
92,3,2.0,1960.0,98105,950000.0
93,4,3.0,2110.0,98133,760000.0
94,4,3.5,3010.0,98106,985000.0
95,3,1.0,2200.0,98105,1250000.0
96,3,2.5,1820.0,98118,690000.0
97,4,4.0,3040.0,98119,1585000.0
98,3,2.0,1800.0,98118,936000.0
99,1,1.0,800.0,98122,450000.0
100,3,3.0,1450.0,98117,750000.0
101,1,1.0,756.0,98121,550000.0
102,1,1.0,742.0,98126,354000.0
103,4,2.0,2400.0,98119,1385000.0
104,2,2.0,1607.0,98101,1865000.0
105,4,3.5,3057.0,98117,1800000.0
106,1,1.0,649.0,98105,346600.0
107,4,4.0,3142.0,98119,1600000.0
108,3,1.0,1050.0,98106,399950.0
109,3,2.0,1720.0,98199,855000.0
110,3,3.5,2650.0,98136,1095000.0
111,2,1.5,2680.0,98102,1125000.0
112,4,2.5,2550.0,98115,1560000.0
113,9,4.0,3800.0,98116,1343000.0
114,2,2.0,1320.0,98125,525000.0
115,4,2.0,1910.0,98168,630000.0
116,2,1.0,773.0,98133,360000.0
117,1,1.0,589.0,98121,375000.0
118,1,1.0,510.0,98102,302500.0
119,4,3.5,2661.0,98108,1165000.0
120,2,2.0,843.0,98103,346250.0
121,4,3.0,2250.0,98115,1150000.0
122,4,1.5,2080.0,98116,950000.0
123,3,3.5,1370.0,98117,699500.0
124,1,1.0,699.0,98115,335000.0
125,2,3.0,1840.0,98125,800000.0
126,4,3.5,3040.0,98177,1495000.0
127,2,1.0,858.0,98144,500000.0
128,5,8.5,3110.0,98115,1606500.0
129,2,2.0,1147.0,98115,749950.0
130,2,1.0,868.0,98144,415000.0
131,2,2.5,1538.0,98105,895000.0
132,2,1.0,1480.0,98126,720000.0
133,2,2.0,932.0,98103,435000.0
134,2,2.0,981.0,98133,450000.0
135,2,2.0,866.0,98107,555000.0
136,4,3.5,2000.0,98115,870000.0
137,3,3.5,1470.0,98117,845000.0
138,2,2.0,1840.0,98122,1200000.0
139,4,2.0,2230.0,98125,925000.0
140,2,1.5,1290.0,98115,795000.0
141,3,2.5,1670.0,98178,600000.0
142,1,1.0,630.0,98146,459000.0
143,3,2.0,1880.0,98144,911000.0
144,2,2.0,1188.0,98102,1350000.0
145,2,1.5,1300.0,98133,570288.0
146,1,1.0,857.0,98121,529000.0
147,2,2.0,1071.0,98119,605000.0
148,5,4.0,2810.0,98103,1295000.0
149,4,2.5,2400.0,98109,1595000.0
150,3,3.5,1670.0,98178,600000.0
151,3,2.5,2734.0,98109,1605200.0
152,3,2.5,1670.0,98117,865000.0
153,3,3.0,1530.0,98126,745000.0
154,4,1.0,1720.0,98122,543750.0
155,3,1.0,1200.0,98105,1099950.0
156,5,3.0,2030.0,98144,905000.0
157,3,2.0,2370.0,98126,1200000.0
158,3,1.5,1720.0,98117,825000.0
159,1,1.0,813.0,98121,680000.0
160,3,2.0,1590.0,98106,720000.0
161,1,1.0,626.0,98122,389200.0
162,2,1.0,840.0,98108,489000.0
163,2,2.0,1030.0,98122,575000.0
164,5,2.5,2870.0,98168,520000.0
165,1,1.0,792.0,98121,675000.0
166,2,1.5,994.0,98106,580000.0
167,3,2.0,1630.0,98168,630000.0
168,3,1.5,1172.0,98122,685000.0
169,3,2.0,1806.0,98126,799000.0
170,4,2.5,3060.0,98115,1450000.0
171,5,3.5,3820.0,98118,1350000.0
172,2,2.0,1328.0,98104,510000.0
173,3,2.5,2350.0,98115,1582800.0
174,3,2.5,2080.0,98117,977000.0
175,3,1.0,1000.0,98118,710000.0
176,2,1.5,1131.0,98144,685000.0
177,4,3.0,2230.0,98178,1205000.0
178,5,3.0,3130.0,98122,2095000.0
179,5,3.0,3750.0,98107,1580000.0
180,2,2.0,1080.0,98144,450000.0
181,2,2.0,1720.0,98116,985000.0
182,1,1.0,854.0,98107,455000.0
183,3,2.0,1286.0,98136,738000.0
184,2,1.5,1230.0,98122,650000.0
185,2,1.0,1422.0,98117,715000.0
186,4,3.5,3956.0,98125,3200000.0
187,6,5.0,3620.0,98119,1420000.0
188,3,1.5,1370.0,98178,659950.0
189,1,1.0,700.0,98144,325100.0
190,2,3.0,1824.0,98101,2458000.0
191,1,1.0,956.0,98104,870000.0
192,4,2.0,2370.0,98115,1350000.0
193,4,2.5,2200.0,98106,825000.0
194,6,3.0,3020.0,98178,775000.0
195,5,3.0,3400.0,98168,756500.0
196,3,1.0,1660.0,98115,749900.0
197,4,2.0,2080.0,98178,675000.0
198,2,1.5,917.0,98103,625000.0
199,2,1.0,900.0,98126,480000.0
200,4,4.5,3960.0,98144,2485000.0
201,1,1.0,889.0,98121,723000.0
202,5,3.5,3310.0,98115,1575000.0
203,1,1.0,621.0,98133,289900.0
204,3,3.5,1467.0,98144,859990.0
205,4,2.0,1910.0,98106,685000.0
206,3,2.5,1563.0,98118,839950.0
207,5,3.5,3340.0,98106,980000.0
208,4,3.0,2390.0,98119,1300000.0
209,2,1.5,1131.0,98144,670000.0
210,2,2.0,1201.0,98103,699950.0
211,3,3.0,1940.0,98199,450000.0
212,1,1.0,519.0,98105,354000.0
213,2,1.0,1760.0,98116,715000.0
214,4,3.0,1680.0,98117,905000.0
215,2,2.0,1192.0,98103,719950.0
216,4,4.0,2300.0,98105,1440000.0
217,3,2.5,2304.0,98117,1100000.0
218,4,4.0,2650.0,98103,1000000.0
219,5,4.0,4210.0,98105,2625000.0
220,4,3.0,2840.0,98177,1350000.0
221,2,1.0,980.0,98107,863000.0
222,4,4.5,2440.0,98105,1900000.0
223,2,2.0,1140.0,98117,590000.0
224,4,3.5,1824.0,98103,1299000.0
225,2,2.0,1115.0,98121,1069000.0
226,4,3.0,2478.0,98105,2095000.0
227,2,2.0,1140.0,98133,665000.0
228,3,1.5,1172.0,98122,685000.0
229,2,2.0,1433.0,98136,750000.0
230,3,2.0,1520.0,98117,760000.0
231,3,2.5,1380.0,98106,590000.0
232,15,6.0,11010.0,98112,3700000.0
233,4,2.0,1750.0,98105,1025000.0
234,3,2.5,3590.0,98103,1725000.0
235,1,1.0,646.0,98133,332000.0
236,5,3.0,2040.0,98118,605000.0
237,2,2.0,1560.0,98115,980000.0
238,2,2.5,1088.0,98107,835000.0
239,2,1.0,1460.0,98115,400000.0
240,3,2.0,1380.0,98117,800000.0
241,2,1.0,1000.0,98116,793000.0
242,2,2.0,1128.0,98144,625000.0
243,1,1.0,776.0,98116,515000.0
244,3,2.5,2000.0,98106,799000.0
245,3,2.0,2029.0,98115,685000.0
246,4,5.5,2867.0,98115,1750000.0
247,4,3.0,1180.0,98117,956300.0
248,3,2.0,1920.0,98199,1067000.0
249,2,2.0,2220.0,98126,551000.0
250,2,3.0,1300.0,98107,780000.0
251,1,1.0,596.0,98109,445000.0
252,3,2.0,1460.0,98106,583000.0
253,3,2.5,2500.0,98117,1685000.0
254,3,2.5,1540.0,98122,852500.0
255,5,3.0,2550.0,98106,940000.0
256,2,2.0,1018.0,98199,545000.0
257,3,2.5,1520.0,98106,540700.0
258,1,1.0,640.0,98104,345000.0
259,4,3.0,2190.0,98126,860000.0
260,2,1.0,930.0,98133,620000.0
261,5,2.5,2900.0,98106,800000.0
262,4,3.5,2780.0,98112,950000.0
263,3,1.0,2560.0,98125,776000.0
264,1,1.0,613.0,98122,325000.0
265,3,2.5,1566.0,98122,875000.0
266,2,2.0,1245.0,98168,330000.0
267,3,2.5,1190.0,98144,750000.0
268,5,2.5,2760.0,98126,1025000.0
269,4,1.5,3260.0,98199,1695000.0
270,4,3.0,2380.0,98115,1399999.0
271,2,2.5,1884.0,98116,925000.0
272,3,2.5,1712.0,98117,910000.0
273,2,2.0,1196.0,98107,734999.0
274,3,2.0,1098.0,98105,864950.0
275,3,3.0,1250.0,98117,815000.0
276,1,1.0,880.0,98122,700000.0
277,2,1.5,822.0,98144,400000.0
278,4,2.0,1595.0,98118,525000.0
279,3,3.0,2380.0,98136,1230000.0
280,3,2.0,3190.0,98112,2700000.0
281,3,2.5,1465.0,98119,1175000.0
282,4,2.0,2910.0,98115,1400000.0
283,2,3.0,1140.0,98144,675000.0
284,1,1.0,500.0,98168,385000.0
285,3,2.0,1580.0,98126,942000.0
286,1,1.0,683.0,98121,601000.0
287,5,3.0,2430.0,98133,915000.0
288,2,2.0,1128.0,98136,479950.0
289,2,2.0,2360.0,98199,1460000.0
290,3,2.5,1396.0,98136,780000.0
291,1,1.0,615.0,98102,485000.0
292,4,2.0,2340.0,98115,925000.0
293,4,1.5,2140.0,98125,700500.0
294,4,3.0,2980.0,98105,1090000.0
295,3,1.5,1390.0,98168,412000.0
296,2,1.0,720.0,98106,525000.0
297,1,1.0,712.0,98133,325000.0
298,4,2.5,1850.0,98108,945000.0
299,3,4.5,1710.0,98126,725000.0
300,2,1.0,970.0,98106,386000.0
301,3,2.0,1606.0,98109,1450000.0
302,3,2.5,1815.0,98103,1295000.0
303,2,1.0,1120.0,98122,700000.0
304,4,2.0,2220.0,98177,995000.0
305,1,1.0,570.0,98116,345000.0
306,3,2.0,1460.0,98117,888000.0
307,5,3.0,3820.0,98116,1575000.0
308,3,3.5,2480.0,98119,1795000.0
309,5,3.0,2777.0,98125,1338600.0
310,2,2.0,1170.0,98144,624999.0
311,1,1.0,587.0,98125,260000.0
312,3,1.0,1430.0,98103,980000.0
313,2,5.5,1320.0,98144,679950.0
314,2,2.0,2170.0,98116,893000.0
315,1,1.0,635.0,98102,495000.0
316,3,1.5,1630.0,98115,895000.0
317,2,2.0,1900.0,98122,1310000.0
318,3,2.0,1760.0,98106,689000.0
319,3,2.5,1712.0,98107,970000.0
320,4,2.5,3190.0,98102,1820000.0
321,4,3.5,3590.0,98109,2900000.0
322,1,1.0,630.0,98133,255000.0
323,2,2.0,1150.0,98121,615000.0
324,5,2.0,1830.0,98118,665000.0
325,2,1.0,760.0,98144,250000.0
326,3,2.5,2600.0,98117,1148000.0
327,3,2.0,2130.0,98107,990200.0
328,3,3.5,2899.0,98199,1800000.0
329,3,1.0,1090.0,98178,400000.0
330,4,4.0,3360.0,98107,1200000.0
331,4,2.5,2240.0,98117,1050000.0
332,2,1.0,886.0,98112,620000.0
333,3,2.0,1560.0,98106,799000.0
334,4,2.0,1730.0,98146,852000.0
335,3,2.0,1700.0,98115,1150000.0
336,4,3.5,1909.0,98103,1500000.0
337,3,2.0,2180.0,98117,1012000.0
338,1,1.0,681.0,98105,470000.0
339,3,3.0,1460.0,98144,1000000.0
340,1,1.0,704.0,98119,365000.0
341,2,1.0,1010.0,98125,549950.0
342,2,2.5,1635.0,98102,1850000.0
343,2,1.5,1022.0,98144,655000.0
344,3,1.0,990.0,98146,635000.0
345,2,2.0,1164.0,98117,706474.0
346,1,1.0,583.0,98119,349000.0
347,2,1.5,888.0,98103,700000.0
348,4,2.0,2740.0,98119,1400000.0
349,3,2.0,1670.0,98118,485000.0
350,3,1.0,830.0,98125,660000.0
351,2,2.0,1200.0,98122,705000.0
352,3,3.5,2530.0,98102,1299000.0
353,4,3.0,2660.0,98117,1360000.0
354,4,2.0,2820.0,98117,1441000.0
355,2,1.0,1011.0,98103,159488.0
356,2,1.5,1088.0,98106,590000.0
357,6,3.5,3785.0,98117,3150000.0
358,3,2.0,1540.0,98144,630000.0
359,2,1.5,1180.0,98168,575000.0
360,3,3.5,1968.0,98199,980000.0
361,1,1.0,610.0,98119,340000.0
362,2,2.0,1346.0,98116,800000.0
363,2,2.5,1320.0,98133,570000.0
364,3,3.5,3064.0,98121,2450000.0
365,3,2.0,2980.0,98115,1415000.0
366,4,3.5,3050.0,98102,2250000.0
367,3,2.0,2020.0,98133,917500.0
368,3,2.5,1926.0,98122,1148000.0
369,2,1.0,1330.0,98125,479000.0
370,3,2.0,2410.0,98199,1083000.0
371,2,2.5,1580.0,98106,699000.0
372,3,1.0,1030.0,98105,710000.0
373,3,3.0,1630.0,98168,615000.0
374,4,2.5,2370.0,98146,750000.0
375,1,1.0,783.0,98101,530000.0
376,4,1.0,1310.0,98146,735000.0
377,3,2.0,1996.0,98117,986500.0
378,3,2.0,1580.0,98126,820000.0
379,1,1.0,781.0,98122,481000.0
380,2,2.0,1517.0,98105,1350000.0
381,4,2.0,2360.0,98115,950000.0
382,3,2.0,1496.0,98144,824500.0
383,2,2.5,1250.0,98117,725000.0
384,2,2.0,1810.0,98119,1350000.0
385,1,1.0,531.0,98121,489000.0
386,4,2.5,2380.0,98105,1900000.0
387,2,2.0,1095.0,98177,599950.0
388,2,2.0,1080.0,98106,533500.0
389,2,2.0,1146.0,98112,845000.0
390,4,2.5,1544.0,98117,850000.0
391,1,1.0,707.0,98122,590000.0
392,4,3.0,2067.0,98122,1074900.0
393,4,3.0,2360.0,98115,1360000.0
394,2,2.0,724.0,98103,430000.0
395,2,2.5,1649.0,98118,765000.0
396,5,2.5,2180.0,98118,1009975.0
397,3,2.0,1960.0,98199,955000.0
398,1,1.0,727.0,98103,445000.0
399,3,2.0,1209.0,98116,725000.0
400,1,1.0,650.0,98116,349000.0
401,5,3.0,3070.0,98117,1450000.0
402,4,2.5,2130.0,98136,960000.0
403,4,2.5,2220.0,98144,1235000.0
404,4,3.0,2288.0,98126,1105000.0
405,2,2.0,1370.0,98121,1050000.0
406,5,3.0,3120.0,98178,795000.0
407,4,2.5,2180.0,98115,1275000.0
408,3,2.0,1590.0,98146,560000.0
409,3,1.5,2220.0,98115,930000.0
410,1,1.0,813.0,98178,240000.0
411,1,1.0,574.0,98109,280000.0
412,4,2.0,2480.0,98122,825000.0
413,4,3.0,3320.0,98116,750000.0
414,2,1.0,1720.0,98118,575000.0
415,3,2.0,2050.0,98109,1265000.0
416,4,3.0,2370.0,98115,1830000.0
417,4,5.0,3660.0,98118,2695000.0
418,3,3.5,1670.0,98107,1115000.0
419,2,3.5,990.0,98178,405000.0
420,3,3.0,3120.0,98199,1350000.0
421,3,2.0,2260.0,98199,1300000.0
422,2,1.0,650.0,98103,708888.0
423,3,3.5,1540.0,98126,699950.0
424,3,3.5,1980.0,98144,1055000.0
425,3,1.0,2160.0,98115,920000.0
426,4,2.5,3080.0,98117,1650000.0
427,2,3.0,1740.0,98105,1395000.0
428,3,2.0,1900.0,98112,1766000.0
429,9,5.0,3940.0,98133,1089000.0
430,2,1.5,1366.0,98116,839000.0
431,4,1.5,1920.0,98125,850000.0
432,1,1.0,715.0,98115,515000.0
433,3,2.5,1610.0,98107,895000.0
434,6,4.0,2960.0,98199,1050000.0
435,4,2.0,1810.0,98117,945000.0
436,2,2.0,1125.0,98102,705000.0
437,2,2.0,1893.0,98115,727000.0
438,3,2.0,1096.0,98117,875000.0
439,3,4.5,3760.0,98199,1570000.0
440,4,2.5,2720.0,98136,1315000.0
441,2,2.0,1510.0,98105,915000.0
442,2,2.0,1350.0,98119,1035000.0
443,4,3.5,2980.0,98112,2400000.0
444,2,2.0,1443.0,98168,325000.0
445,2,2.0,1170.0,98115,428000.0
446,5,2.0,2260.0,98117,865000.0
447,3,2.0,1990.0,98146,730000.0
448,2,1.5,1555.0,98122,677500.0
449,3,2.0,2350.0,98122,1140000.0
450,2,1.0,1440.0,98125,699950.0
451,1,1.0,627.0,98107,429000.0
452,1,1.0,551.0,98121,410000.0
453,2,1.0,770.0,98126,560000.0
454,3,2.5,1570.0,98103,700000.0
455,1,1.0,699.0,98199,390000.0
456,3,3.0,2650.0,98105,1600000.0
457,2,1.5,1070.0,98103,850000.0
458,3,0.5,1941.0,98103,892700.0
459,3,2.5,2030.0,98115,1439000.0
460,2,1.0,1620.0,98178,619000.0
461,2,2.5,1400.0,98103,850000.0
462,3,2.0,2354.0,98115,938000.0
463,2,3.5,1155.0,98118,219700.0
464,3,1.0,1340.0,98177,785000.0
465,2,1.0,903.0,98146,363500.0
466,3,1.5,1220.0,98103,599000.0
467,2,1.0,1250.0,98118,500000.0
468,2,2.0,1040.0,98133,625000.0
469,2,1.0,1660.0,98109,850000.0
470,1,1.0,744.0,98115,345000.0
471,2,1.5,805.0,98107,500000.0
472,3,1.0,1060.0,98117,1125000.0
473,5,3.5,3160.0,98112,2300000.0
474,3,3.0,1120.0,98168,525000.0
475,4,2.5,1881.0,98133,870000.0
476,5,2.5,3460.0,98144,2425000.0
477,1,1.0,376.0,98199,1000000.0
478,2,2.0,880.0,98126,680000.0
479,1,1.0,794.0,98121,660000.0
480,3,2.0,1340.0,98103,925000.0
481,4,2.5,2560.0,98116,1712000.0
482,4,2.0,2178.0,98133,880000.0
483,2,1.0,1180.0,98122,870260.0
484,4,3.5,3220.0,98199,2195000.0
485,3,3.0,2070.0,98136,730000.0
486,3,2.5,2131.0,98119,1520000.0
487,2,3.0,970.0,98102,769900.0
488,6,3.5,2430.0,98108,870000.0
489,3,2.5,1395.0,98116,725000.0
490,3,2.5,1810.0,98125,922000.0
491,2,1.0,904.0,98122,520000.0
492,1,1.0,717.0,98109,425000.0
493,5,3.0,2170.0,98178,775000.0
494,4,3.0,3120.0,98144,1670000.0
495,3,2.0,1870.0,98136,849000.0
496,4,3.5,2285.0,98116,1500000.0
497,3,2.5,2783.0,98199,1640000.0
498,4,2.0,2540.0,98107,1280000.0
499,2,2.0,1734.0,98109,725000.0
500,2,1.0,1010.0,98125,870000.0
501,3,2.5,1420.0,98103,890000.0
502,3,1.0,1410.0,98118,475000.0
503,3,2.0,2320.0,98115,880000.0
504,1,1.0,553.0,98103,335000.0
505,3,2.0,1719.0,98103,1160000.0
506,4,2.0,2037.0,98119,1247500.0
507,1,1.0,954.0,98101,555000.0
508,2,1.5,1370.0,98115,700000.0
509,2,1.0,1480.0,98117,905000.0
510,5,4.5,3636.0,98115,2840000.0
511,3,1.5,1780.0,98126,650000.0
512,3,2.0,1094.0,98108,649995.0
513,1,1.0,830.0,98103,695000.0
514,2,2.0,834.0,98126,351000.0
515,2,1.5,1035.0,98112,656500.0
516,4,3.0,2790.0,98133,965000.0
517,2,2.0,859.0,98126,499950.0
518,4,3.5,5690.0,98112,3630000.0
519,2,1.0,772.0,98103,409000.0
520,3,1.0,1430.0,98168,499800.0
521,3,2.5,1460.0,98106,575000.0
522,3,2.5,1386.0,98107,999950.0
523,5,3.0,2310.0,98106,780000.0
524,2,1.5,1340.0,98115,675000.0
525,2,4.0,1291.0,98116,800500.0
526,3,2.5,2320.0,98116,949000.0
527,3,2.5,2150.0,98116,1360000.0
528,2,2.0,1885.0,98115,550000.0
529,3,2.0,1425.0,98117,750000.0
530,3,2.5,1810.0,98107,1000000.0
531,2,1.0,1280.0,98118,859000.0
532,3,3.0,1480.0,98117,729000.0
533,3,3.0,2110.0,98177,1270000.0
534,2,1.0,1027.0,98115,300000.0
535,1,1.0,808.0,98101,730000.0
536,3,2.5,1569.0,98107,950000.0
537,3,3.0,2247.0,98109,1725000.0
538,3,1.0,1220.0,98107,750000.0
539,2,1.0,1060.0,98103,900000.0
540,4,2.0,1920.0,98118,1210000.0
541,1,1.0,804.0,98116,425000.0
542,2,1.0,813.0,98116,452500.0
543,4,1.5,1740.0,98146,649950.0
544,3,1.5,2230.0,98117,1075000.0
545,4,2.5,2760.0,98178,640000.0
546,3,3.0,1660.0,98118,795000.0
547,3,2.5,1360.0,98112,805000.0
548,4,4.5,5200.0,98118,2600000.0
549,3,2.5,1573.0,98107,1030000.0
550,1,1.0,700.0,98101,645000.0
551,4,3.0,1700.0,98146,649000.0
552,4,3.5,2560.0,98144,1325000.0
553,3,2.0,1330.0,98122,680000.0
554,4,2.0,2180.0,98115,838000.0
555,3,2.0,1350.0,98103,785000.0
556,2,1.5,1720.0,98144,725000.0
557,4,3.5,3060.0,98136,3931000.0
558,2,2.0,954.0,98133,380000.0
559,2,2.5,1460.0,98106,599950.0
560,4,3.0,1540.0,98105,1108000.0
561,1,1.0,709.0,98109,470000.0
562,3,1.5,2560.0,98118,720000.0
563,1,1.0,534.0,98119,324000.0
564,2,2.5,1440.0,98144,875000.0
565,1,1.0,627.0,98121,462750.0
566,3,2.5,1324.0,98126,649950.0
567,2,2.0,1290.0,98125,635000.0
568,1,1.0,748.0,98122,499000.0
569,2,2.5,1830.0,98116,1730000.0
570,3,2.0,1660.0,98115,795000.0
571,3,1.0,1964.0,98168,625000.0
572,3,2.0,1460.0,98116,759000.0
573,1,1.0,683.0,98119,450500.0
574,4,2.0,2060.0,98115,812500.0
575,4,2.0,1160.0,98103,710000.0
576,3,2.0,1540.0,98144,680000.0
577,1,1.0,529.0,98118,265000.0
578,2,1.0,1860.0,98105,898000.0
579,1,1.0,648.0,98115,515000.0
580,5,4.0,4490.0,98122,1150000.0
581,6,4.0,2310.0,98108,849000.0
582,3,3.5,3130.0,98105,2350000.0
583,2,1.0,2110.0,98146,376000.0
584,3,1.5,1590.0,98108,700000.0
585,3,2.5,1280.0,98105,900000.0
586,2,1.0,840.0,98118,495000.0
587,3,2.0,2020.0,98125,950000.0
588,4,3.0,3610.0,98105,2330000.0
589,4,3.5,2336.0,98115,1080000.0
590,2,1.0,1040.0,98133,350000.0
591,1,1.0,620.0,98119,399000.0
592,1,1.0,728.0,98119,360000.0
593,3,2.5,1970.0,98103,715000.0
594,4,3.0,2190.0,98115,1490000.0
595,4,3.0,2120.0,98126,920000.0
596,2,2.0,1415.0,98125,449000.0
597,4,3.5,1835.0,98103,1299950.0
598,2,4.5,1670.0,98107,1115000.0
599,3,3.5,2570.0,98105,2000000.0
600,3,2.0,2060.0,98118,700000.0
601,3,2.5,1740.0,98102,1678000.0
602,5,3.0,2510.0,98103,910000.0
603,2,2.5,1000.0,98144,660000.0
604,3,2.0,1516.0,98116,1150000.0
605,3,1.0,940.0,98136,500000.0
606,4,2.0,2440.0,98144,1116000.0
607,5,4.0,2470.0,98118,1005000.0
608,2,2.0,1288.0,98133,755000.0
609,4,3.5,3240.0,98112,1995000.0
610,2,2.0,693.0,98119,490000.0
611,3,2.5,1550.0,98107,825000.0
612,4,2.0,2080.0,98106,750000.0
613,4,3.0,1400.0,98107,1000000.0
614,2,2.5,1159.0,98122,885000.0
615,2,1.5,901.0,98107,599000.0
616,4,3.0,2900.0,98136,1175000.0
617,4,2.5,2052.0,98178,865000.0
618,1,1.0,773.0,98121,685000.0
619,2,2.0,1040.0,98118,345000.0
620,2,2.0,2353.0,98116,1160000.0
621,2,2.0,1212.0,98136,600000.0
622,5,2.0,2640.0,98122,1000000.0
623,2,1.0,1090.0,98118,580000.0
624,5,2.5,3960.0,98199,1850000.0
625,4,1.5,3030.0,98112,1500000.0
626,4,2.5,3080.0,98168,650000.0
627,1,1.0,700.0,98119,405000.0
628,2,1.5,1276.0,98103,885000.0
629,3,1.0,910.0,98168,480000.0
630,5,3.5,4180.0,98109,3000000.0
631,1,1.0,852.0,98107,430000.0
632,5,1.5,2830.0,98118,766000.0
633,2,1.0,970.0,98116,600000.0
634,3,2.0,1576.0,98122,974999.0
635,1,1.0,667.0,98115,327500.0
636,3,2.0,1080.0,98116,875000.0
637,2,5.5,2659.0,98102,6250000.0
638,5,5.0,3623.0,98115,1975000.0
639,4,3.5,2520.0,98199,1765000.0
640,4,3.5,2720.0,98102,1750000.0
641,2,2.0,968.0,98103,715000.0
642,2,2.0,839.0,98133,385000.0
643,2,3.5,2080.0,98103,1495000.0
644,2,2.0,693.0,98119,480000.0
645,2,2.5,1365.0,98118,525000.0
646,2,1.0,1580.0,98178,500000.0
647,2,1.0,860.0,98116,750000.0
648,2,2.0,1038.0,98116,600000.0
649,4,3.0,2860.0,98103,1600000.0
650,1,1.0,557.0,98102,370000.0
651,2,2.0,1644.0,98101,2250000.0
652,5,2.0,2340.0,98106,613000.0
653,3,2.5,1810.0,98107,1000000.0
654,2,1.0,2530.0,98122,700000.0
655,3,3.5,1820.0,98122,1125000.0
656,2,1.0,648.0,98107,430000.0
657,2,2.5,1448.0,98103,1325000.0
658,2,1.0,1660.0,98125,535000.0
659,5,3.0,2970.0,98117,1225000.0
660,5,4.0,3030.0,98108,1250000.0
661,3,2.0,1400.0,98106,530000.0
